split,model_name,feature_set,threshold,transaction_cost,strategy_n_days,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_avg_daily_return,buy_hold_n_days,buy_hold_cumulative_return,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_avg_daily_return,exposure,trades,win_rate_when_in_market
oos_expanding,Logit,all,0.5,0.0001,3400,0.9474657285874128,0.05064215543361317,0.15251703558610016,0.40051368734045384,-0.2992861714597277,0.00024240142978104834,3400,4.659240059560361,0.13708429279687295,0.19608987908059308,0.7536062383997959,-0.3392495902426055,0.0005864069688976054,0.6544117647058824,915,0.5348314606741573
oos_expanding,XGB,all,0.5,0.0001,3400,1.3373206081991915,0.06494831800670964,0.1564695832603529,0.48080457819491756,-0.3582954086180583,0.00029853687293582737,3400,4.659240059560361,0.13708429279687295,0.19608987908059308,0.7536062383997959,-0.3392495902426055,0.0005864069688976054,0.5832352941176471,1347,0.5441250630358043
test,Logit,all,0.5,0.0001,537,0.08316062726948825,0.03819862809776198,0.18948176450262488,0.292671293396836,-0.24432570464805892,0.00022006298846070598,537,0.06971454542423539,0.032130608500260394,0.18991600030729222,0.26156533813480304,-0.2537811304380434,0.00019712477316502475,0.994413407821229,5,0.49625468164794007
test,Logit,dict,0.5,0.0001,537,0.008166537496467452,0.003824070987495931,0.18422224281947402,0.11292781084605796,-0.27632263698354953,8.255481980457985e-05,537,0.06971454542423539,0.032130608500260394,0.18991600030729222,0.26156533813480304,-0.2537811304380434,0.00019712477316502475,0.9199255121042831,65,0.4979757085020243
test,Logit,finbert,0.5,0.0001,537,-0.07003584699534238,-0.033499641336181774,0.18225259598214238,-0.09576005966686188,-0.2911258181298235,-6.925602962575565e-05,537,0.06971454542423539,0.032130608500260394,0.18991600030729222,0.26156533813480304,-0.2537811304380434,0.00019712477316502475,0.9124767225325885,51,0.4857142857142857
test,Logit,general,0.5,0.0001,537,0.06079065447183596,0.028081012262920035,0.18983917726175775,0.24088254313026214,-0.25378113043804384,0.000181464062716543,537,0.06971454542423539,0.032130608500260394,0.18991600030729222,0.26156533813480304,-0.2537811304380434,0.00019712477316502475,0.9981378026070763,3,0.4944029850746269
test,Logit,vader,0.5,0.0001,537,0.06705247297811545,0.03092446230820034,0.1899107228685871,0.2554091318855414,-0.25378113043804384,0.00019247989231595814,537,0.06971454542423539,0.032130608500260394,0.18991600030729222,0.26156533813480304,-0.2537811304380434,0.00019712477316502475,0.9981378026070763,3,0.4944029850746269
test,XGB,all,0.5,0.0001,537,0.04531167312458573,0.021013651127574695,0.1682107156221744,0.20791619005874595,-0.22943174687166912,0.00013878464729848283,537,0.06971454542423539,0.032130608500260394,0.18991600030729222,0.26156533813480304,-0.2537811304380434,0.00019712477316502475,0.845437616387337,131,0.5022026431718062
test,XGB,dict,0.5,0.0001,537,0.10377313152339962,0.04742364284386924,0.18839977585965997,0.34020219393471,-0.23506010172022918,0.000254341337635968,537,0.06971454542423539,0.032130608500260394,0.18991600030729222,0.26156533813480304,-0.2537811304380434,0.00019712477316502475,0.9925512104283054,9,0.49530956848030017
test,XGB,finbert,0.5,0.0001,537,0.06960750657612014,0.032082141519022445,0.18991621692326097,0.2613179446562895,-0.25378113043804384,0.00019693855342573242,537,0.06971454542423539,0.032130608500260394,0.18991600030729222,0.26156533813480304,-0.2537811304380434,0.00019712477316502475,1.0,1,0.49534450651769085
