split,model_name,feature_set,regime,threshold,transaction_cost,strategy_n_days,strategy_cumulative_return,strategy_annualized_return,strategy_annualized_volatility,strategy_sharpe,strategy_max_drawdown,strategy_avg_daily_return,buy_hold_n_days,buy_hold_cumulative_return,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_avg_daily_return,exposure,trades,win_rate_when_in_market
oos_expanding,Logit,all,2008-2009 financial crisis,0.5,0.0001,90,0.39003948997124227,1.5146409728135173,0.47700302607025596,2.1718946096559995,-0.21138528502176634,0.004111112305998369,90,0.2535377488556789,0.8827157986382932,0.49216453310836744,1.5300902571574737,-0.25633979312543287,0.0029883180834427378,0.9444444444444444,11,0.611764705882353
oos_expanding,Logit,all,2020 COVID shock,0.5,0.0001,249,0.13580346050711722,0.1375473708035031,0.346797821703824,0.546050263974697,-0.33924959024260526,0.0007514644527270753,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,1.0,1,0.5662650602409639
oos_expanding,Logit,all,2022-2023 rate-hike cycle,0.5,0.0001,495,-0.011300720058777691,-0.0057691421129395515,0.19509160409682502,0.06776748618223345,-0.25378113043804384,5.246376025754503e-05,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,1.0,1,0.4868686868686869
oos_expanding,Logit,all,Other,0.5,0.0001,2566,2.334716217214435,0.12555886898340107,0.1472904833401807,0.8770043690614855,-0.19778213767806796,0.0005125968151210967,2566,3.0194450436043576,0.1463930302502916,0.15342711753280835,0.9675301928977839,-0.19778213767806785,0.0005890689231042421,0.9664848012470771,63,0.5495967741935484
oos_expanding,XGB,all,2008-2009 financial crisis,0.5,0.0001,90,0.3666081166345869,1.397746071911326,0.40352590205740835,2.368608250183914,-0.1985449786772645,0.003792836431651124,90,0.2535377488556789,0.8827157986382932,0.49216453310836744,1.5300902571574737,-0.25633979312543287,0.0029883180834427378,0.6,41,0.6481481481481481
oos_expanding,XGB,all,2020 COVID shock,0.5,0.0001,249,0.13580346050711722,0.1375473708035031,0.346797821703824,0.546050263974697,-0.33924959024260526,0.0007514644527270753,249,0.13591785993830996,0.13766332637634981,0.34679551824024174,0.546345719425489,-0.33924959024260537,0.0007518660591527784,1.0,1,0.5662650602409639
oos_expanding,XGB,all,2022-2023 rate-hike cycle,0.5,0.0001,495,-0.011300720058777691,-0.0057691421129395515,0.19509160409682502,0.06776748618223345,-0.25378113043804384,5.246376025754503e-05,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,1.0,1,0.4868686868686869
oos_expanding,XGB,all,Other,0.5,0.0001,2566,2.9813406458462706,0.14532114065469415,0.14159661483039848,1.0294052839966246,-0.1977821376780674,0.0005784139027874881,2566,3.0194450436043576,0.1463930302502916,0.15342711753280835,0.9675301928977839,-0.19778213767806785,0.0005890689231042421,0.9501169134840218,133,0.5525020508613617
test,Logit,all,2022-2023 rate-hike cycle,0.54,0.0001,495,-0.009515241890316939,-0.004855490700758636,0.19476970422641326,0.07227340283062426,-0.25243354424320386,5.585979878078217e-05,495,-0.011201777940844981,-0.005718491011084126,0.19509141264713542,0.06802850261695159,-0.2537811304380434,5.266578045956521e-05,0.9939393939393939,7,0.48577235772357724
test,Logit,all,Other,0.54,0.0001,42,0.08172394090287294,0.602133310840707,0.11410484540765062,4.19016957136812,-0.01669666573997597,0.001897296234812702,42,0.08183299844185976,0.6031027010183538,0.11405115666100236,4.197402860154332,-0.01669666573997608,0.001899677187193655,1.0,1,0.5952380952380952
