year,headline_rows,trading_days,avg_headlines_per_day
2008,141,106,1.330188679245283
2009,113,90,1.2555555555555555
2010,209,132,1.5833333333333333
2011,547,216,2.5324074074074074
2012,722,241,2.995850622406639
2013,775,241,3.215767634854772
2014,856,242,3.5371900826446283
2015,818,243,3.366255144032922
2016,801,240,3.3375
2017,704,228,3.087719298245614
2018,837,243,3.4444444444444446
2019,923,248,3.721774193548387
2020,1515,249,6.0843373493975905
2021,1301,250,5.204
2022,2316,251,9.227091633466136
2023,4748,244,19.459016393442624
2024,827,43,19.232558139534884
