Date,CP,headline_count,return_next_day,return_same_day,regime,vix,daily_text
2008-01-10,1420.33,1,-0.07732710004013144,0.007948166599249129,2008-2009 financial crisis,23.45,U.S. Stocks Zigzag Higher As Bernanke Speech Sinks In
2008-09-17,1156.39,1,0.08534318006900765,-0.047140738299274676,2008-2009 financial crisis,36.22,U.S. Stock Indexes Plummet As Fate Of Financials Questioned
2008-09-26,1213.27,1,-0.08806778375794333,0.02310539941140277,2008-2009 financial crisis,34.74,"IBM's all-star salesman - Sep. 26, 2008"
2008-10-01,1161.06,1,-0.08971973885931805,0.0493845013647618,2008-2009 financial crisis,39.81,Burned by the Dow? Hang on
2008-10-13,1003.35,1,-0.09519110978222955,0.007146943978800113,2008-2009 financial crisis,54.99,Korea's Promotion Overseas Mismanaged
2008-11-26,887.68,1,-0.08051324801730342,0.04211032976837559,2008-2009 financial crisis,54.92,S&P500 Dividend Yield vs 10 Year Treasury - The Big Picture
2009-02-09,869.89,1,-0.09279334168688003,0.05385006784260504,2008-2009 financial crisis,43.64,Senate Passes $838 Billion Economic Stimulus Bill - The Washington Post
2009-02-25,764.9,1,-0.08377565694862066,0.029018067345593312,2008-2009 financial crisis,44.67,"Jeremy Siegel, Wrong"
2009-03-09,676.53,1,0.1182800467089411,-0.008819866676433974,2008-2009 financial crisis,49.68,Chart: Historical Stock Market Comebacks After Crashes — My Money Blog
2009-07-13,901.05,1,0.09592142500416179,0.02081161915983132,2008-2009 financial crisis,26.31,Ready for anything: Face to Face with Andrew Lo
2020-03-06,2972.37,5,-0.07596968075979771,-0.017053909799797706,2020 COVID shock,41.94,"Every S&P 500 Stock Is Losing to 30-Year Treasuries . Fed Makes Emergency Rate Cut as Markets Tremble Over Coronavirus . If you invested $1,000 in Nordstrom 10 years ago, here's how much you'd have now . S&P 500 Price Forecast – Stock Markets Broke Down a Bit on Friday Again . Stock Market News for Mar 6, 2020"
2020-03-11,2741.38,10,-0.09511268047479748,-0.048868410917935035,2020 COVID shock,53.9,"2007-2008 vs. 2020 Crisis Comparison: How Did United Parcel Service Stock Fare Compared with S&P 500? . 2008 Crisis vs. 2020 Coronavirus Comparison: How Did IBM Fare Compared With S&P 500? . Dow plunges 10% amid coronavirus fears for its worst day since the 1987 market crash . Goldman Sachs says the bull market is over . How Reliable Are S&P 500 Stock Dividends? Historical Drawdowns . Is This An S&P 500 Dip Or A Top? Here's How To Tell. . S&P 500 Closes at Session High as Stocks Spike 5%, Yields Surge . SNAPSHOT-S&P 500 falls 20% from record high, crossing bear market threshold . Stock market live Wednesday: Dow bear market, official global pandemic, Wall Street says no crisis . Trump's stock market gains have been cut in half by the coronavirus sell-off"
2020-03-12,2480.64,25,0.0928711945304439,-0.09511268047479748,2020 COVID shock,75.47,"'Circuit breaker' triggered again to keep stocks from falling through floor. What you need to know . Bitcoin and S&P 500: correlation and disappointment . Coronavirus: FTSE 100, Dow, S&P 500 in worst day since 1987 . Cramer Revisits His Infamous 'They Know Nothing!' Moment . Deja Vu? The S&P 500 Is 'Eerily Tracking' October 2008 - SPDR S&P 500 (ARCA:SPY) . Dow Jones, S&P 500 Forecast – Approaching Long-term Support as Panic Sets In . Dow's 10% loss most since 1987 market crash . Dow: Stock market plunge escalates, S&P 500 enters bear . Explaining a Circuit Breaker and Trading Halts for SP:SPX by TradingView — TradingView . Here's what happened to the stock market on Thursday . History of Notable Market Halts . How stock markets perform after heavy falls . Morgan Stanley Says to Start Buying Stocks Now As Markets Fall . S&P 500 Futures for June Hit Limit-Down Again Amid Global Rout . S&P 500 and Nasdaq Weekly Charts Show Significant Downside Risk . S&P 500 suffers its quickest fall into bear market on record . Stock market live Thursday: Dow tanks 2,300 in worst day since Black Monday, S&P 500 bear market . Stock market news live: Dow plunges 10% in biggest one-day percentage drop since 1987 . Stock markets briefly shut down due to coronavirus-driven sell-off . This is the level to watch in the S&P 500 as stocks touch bear-market territory . Trump's Stock Market Returns Fall Behind Obama's As The Dow Enters Bear Territory . U.S. Stocks Plummet in Worst Day Since 1987's Black Monday . Wall Street's roller coaster week continues: Live updates . What you need to know about the stock market's circuit breakers . Will There Be a US Recession? Bear Market Signals 80% Chance"
2020-03-13,2711.02,15,-0.11984050283657066,0.0928711945304439,2020 COVID shock,57.83,"After the Market's Worst Day in Decades, Where Do We Go From Here? (Published 2020) . Another Day, Another $2 Trillion Has Stock Traders Shuddering . How Long Does it Take to Make Your Money Back After a Bear Market? . S&P 500 Forward P/E Ratio Falls Below 10-Year Average of 15.0 . S&P 500 Index Undercuts Extreme Price Target (2500) . S&P 500 Price Outlook: Index Tests Trendline Extremes in Bear Market . S&P 500's biggest one-day gain since 2008 helps trim weekly drop . Shale Driller Cabot (COG) Stock Week's Biggest S&P 500 Gainer . Stock Market News for Mar 13, 2020 . Stock market live Friday: Biggest jump in 11 years, Still down big for week, Mnuchin says buy . Stocks Rally as Trump and Business Leaders Pledge Support (Published 2020) . The 12 Best Low-Volatility Stocks of the Market Crash . VIX Shocks Like This Have Perfect Record of Signaling a Bounce . Wall Street's roller coaster week continues: Live updates . Why Is Procter & Gamble's Stock Not Taking As Bad A Hit As The S&P?"
2020-03-23,2237.4,8,0.09382765710199337,-0.02929385835517062,2020 COVID shock,61.59,"Apple loses $1 trillion status for now as coronavirus fallout slashes market . Coronavirus stock market today: S&P 500, Dow Jones slide as Goldman releases earnings estimates . Fifth Week of Market Mayhem Starts With Limit-Down U.S. Futures . S&P 500 Price Forecast – Stock Markets All Over The Place . Stock market: Pros and cons of index funds vs. individual stocks . Stocks close in the red despite Fed's rescue efforts . This was the fastest 30% sell-off ever, exceeding the pace of declines during the Great Depression . Two Reasons Stocks Could Fall Another 20% To 40%"
