model,feature_set,selected_threshold,threshold_objective,val_balanced_accuracy,val_f1_at_selected_threshold
Logit,dict,0.53,validation_balanced_accuracy,0.5011300360301343,0.72400513478819
Logit,general,0.52,validation_balanced_accuracy,0.5046511627906977,0.7272727272727273
Logit,vader,0.57,validation_balanced_accuracy,0.5035866360956437,0.040955631399317405
Logit,finbert,0.55,validation_balanced_accuracy,0.502612184736325,0.28191489361702127
Logit,all,0.54,validation_balanced_accuracy,0.510800851621356,0.7154255319148937
XGB,dict,0.55,validation_balanced_accuracy,0.5105715689485752,0.47280334728033474
XGB,general,0.54,validation_balanced_accuracy,0.5253603013429413,0.685131195335277
XGB,vader,0.54,validation_balanced_accuracy,0.5080167048804455,0.6846590909090909
XGB,finbert,0.5,validation_balanced_accuracy,0.5,0.7254150702426565
XGB,all,0.5,validation_balanced_accuracy,0.5,0.7254150702426565
