model,feature_set,max_depth,learning_rate,n_estimators,scale_pos_weight,val_auc,val_balanced_accuracy_05,val_brier
XGB,dict,2,0.03,150,0.8222222222222222,0.490009826400262,0.5038814281035048,0.25225639278378104
XGB,dict,2,0.03,300,0.8222222222222222,0.48471994759253195,0.49381755650180154,0.2551228043747782
XGB,dict,2,0.07,150,0.8222222222222222,0.49361283982967574,0.5131182443498199,0.2559190932803632
XGB,dict,2,0.07,300,0.8222222222222222,0.4945463478545692,0.4937520471667213,0.2615315013741931
XGB,dict,3,0.03,150,0.8222222222222222,0.47071732721912873,0.48677530298067473,0.25686515960296996
XGB,dict,3,0.03,300,0.8222222222222222,0.4699148378643957,0.4814281035047494,0.2623444082299428
XGB,dict,3,0.07,150,0.8222222222222222,0.4826727808712742,0.49444808385194894,0.26243571928914383
XGB,dict,3,0.07,300,0.8222222222222222,0.471585325908942,0.4774729773992794,0.27413391728592396
XGB,general,2,0.03,150,0.8222222222222222,0.46155420897477895,0.46306092368162466,0.2535320997553273
XGB,general,2,0.03,300,0.8222222222222222,0.47705535538814287,0.46551752374713395,0.2546257737125297
XGB,general,2,0.07,150,0.8222222222222222,0.47019325253848676,0.4924254831313462,0.25675956974021746
XGB,general,2,0.07,300,0.8222222222222222,0.4755568293481821,0.4840566655748444,0.26096440343207805
XGB,general,3,0.03,150,0.8222222222222222,0.4716590239109073,0.49990173599737964,0.25384887185220306
XGB,general,3,0.03,300,0.8222222222222222,0.4703815918768424,0.47847199475925317,0.2573789524234106
XGB,general,3,0.07,150,0.8222222222222222,0.48018342613822473,0.4855797576154602,0.2580053313487576
XGB,general,3,0.07,300,0.8222222222222222,0.4701932525384867,0.48727481166066167,0.2661748546265934
XGB,vader,2,0.03,150,0.8222222222222222,0.5409760890926958,0.5361120209629873,0.24839614011162178
XGB,vader,2,0.03,300,0.8222222222222222,0.5291352767769407,0.5292662954471012,0.24949253322097262
XGB,vader,2,0.07,150,0.8222222222222222,0.5314281035047494,0.5368080576482148,0.24956228731877456
XGB,vader,2,0.07,300,0.8222222222222222,0.5093350802489354,0.5095971175892565,0.25377653142157935
XGB,vader,3,0.03,150,0.8222222222222222,0.5480674746151326,0.5472404192597444,0.24828050594947335
XGB,vader,3,0.03,300,0.8222222222222222,0.5337536849000983,0.553152636750737,0.2511711622001072
XGB,vader,3,0.07,150,0.8222222222222222,0.5301670488044546,0.5457418932197838,0.25188939575395514
XGB,vader,3,0.07,300,0.8222222222222222,0.520815591221749,0.5351785129380937,0.2587596038788752
XGB,finbert,2,0.03,150,0.8222222222222222,0.4606288896167704,0.4743449066491975,0.25205143367082533
XGB,finbert,2,0.03,300,0.8222222222222222,0.4729855879462824,0.48936292171634455,0.25337499900929794
XGB,finbert,2,0.07,150,0.8222222222222222,0.46418277104487393,0.4836472322305928,0.25465940934683967
XGB,finbert,2,0.07,300,0.8222222222222222,0.4659023910907304,0.4929495578119882,0.25989340391095767
XGB,finbert,3,0.03,150,0.8222222222222222,0.47463150999017356,0.48308221421552566,0.25231498387021534
XGB,finbert,3,0.03,300,0.8222222222222222,0.4964461185718965,0.4859728136259417,0.2534254085791834
XGB,finbert,3,0.07,150,0.8222222222222222,0.48077301015394697,0.4759744513593187,0.25741176316570374
XGB,finbert,3,0.07,300,0.8222222222222222,0.4877006223386832,0.4894284310514248,0.2628848544274292
XGB,all,2,0.03,150,0.8222222222222222,0.48046184081231574,0.4783901080904029,0.24991326133472652
XGB,all,2,0.03,300,0.8222222222222222,0.4968883065836882,0.5005813953488372,0.2500141417692121
XGB,all,2,0.07,150,0.8222222222222222,0.49687192924991813,0.4883884703570259,0.2513451389288844
XGB,all,2,0.07,300,0.8222222222222222,0.5083360628889617,0.5190550278414674,0.25318373346756556
XGB,all,3,0.03,150,0.8222222222222222,0.48372093023255813,0.48001965280052405,0.2507309153818463
XGB,all,3,0.03,300,0.8222222222222222,0.5104651162790698,0.5049705207992139,0.2508906672204436
XGB,all,3,0.07,150,0.8222222222222222,0.5043072387815264,0.49032099574189325,0.25454823172711144
XGB,all,3,0.07,300,0.8222222222222222,0.4985751719620046,0.4949721585325909,0.2611130276308869
