model,feature_set,split,n,rmse,mae,r2,information_coefficient,direction_accuracy,predicted_long_share,actual_up_day_rate
HistoricalMean,-,val,499,0.016468921653872187,0.00992548598522586,-0.0008008497753468902,4.645805889701288e-18,0.5691382765531062,1.0,0.5691382765531062
HistoricalMean,-,test,537,0.011966178300790472,0.008965156229098636,-0.0004338310217408825,,0.49534450651769085,1.0,0.49534450651769085
Ridge,dict,val,499,0.016454904954463476,0.009905146722670736,0.0009019885027813368,0.03248777111366642,0.5511022044088176,0.9258517034068137,0.5691382765531062
XGBRegressor,dict,val,499,0.01662704976847123,0.010011947508759986,-0.020111707495897857,-0.05658879709032221,0.5470941883767535,0.8657314629258517,0.5691382765531062
Ridge,dict,test,537,0.012023449068541314,0.009064955327004994,-0.010033006643991094,0.03845246004329517,0.49162011173184356,0.9776536312849162,0.49534450651769085
XGBRegressor,dict,test,537,0.012179459204568312,0.009157514305627251,-0.036414404316994275,0.022022753743508282,0.4897579143389199,0.9422718808193669,0.49534450651769085
Ridge,general,val,499,0.016480644950069345,0.009924868787719619,-0.002226184227857253,-0.033091094823045716,0.5571142284569138,0.9559118236472945,0.5691382765531062
XGBRegressor,general,val,499,0.01652303949828854,0.009953017770086057,-0.0073890374221159405,-0.05898166884560868,0.5551102204408818,0.8777555110220441,0.5691382765531062
Ridge,general,test,537,0.01198474191549092,0.009020009454953865,-0.0035402653726046562,0.07837213401212167,0.49534450651769085,1.0,0.49534450651769085
XGBRegressor,general,test,537,0.011932587258585188,0.00892865143467118,0.005175051937761466,0.08974222114727852,0.5102420856610801,0.8659217877094972,0.49534450651769085
Ridge,vader,val,499,0.01646836220716617,0.0099241314868111,-0.0007328568319369122,0.008677045547809696,0.5551102204408818,0.9218436873747495,0.5691382765531062
XGBRegressor,vader,val,499,0.016529752743246202,0.009918433889622926,-0.008207800003410703,-0.045685374562037015,0.5350701402805611,0.7975951903807615,0.5691382765531062
Ridge,vader,test,537,0.011996813239999996,0.009025101233067523,-0.005562863952569552,0.04300588397935039,0.4934823091247672,0.9906890130353817,0.49534450651769085
XGBRegressor,vader,test,537,0.011997089656844014,0.008989557291097877,-0.005609202544312186,-0.03597790825373912,0.4748603351955307,0.8491620111731844,0.49534450651769085
Ridge,finbert,val,499,0.016497637260675116,0.009949320037525754,-0.004293933166483299,-0.030274586923698728,0.5270541082164328,0.87374749498998,0.5691382765531062
XGBRegressor,finbert,val,499,0.016619387290476406,0.009936130177412097,-0.019171699195384972,-0.12517105531786804,0.5731462925851704,0.9318637274549099,0.5691382765531062
Ridge,finbert,test,537,0.012009306432466098,0.00903423252075665,-0.007658292361152563,-0.011577973967921597,0.5009310986964618,0.957169459962756,0.49534450651769085
XGBRegressor,finbert,test,537,0.012085742565010838,0.00910053141362481,-0.02052608188949545,-0.07168383778230572,0.46368715083798884,0.9013035381750466,0.49534450651769085
Ridge,all,val,499,0.016471016975068288,0.01005829721036018,-0.001055527364692388,0.0998694357560347,0.5350701402805611,0.6372745490981964,0.5691382765531062
XGBRegressor,all,val,499,0.01622262757489433,0.009968990594158638,0.028909434803171208,0.18263584364352903,0.5090180360721442,0.5591182364729459,0.5691382765531062
Ridge,all,test,537,0.01203672703943569,0.009105627698154308,-0.012265077332116014,0.08943532253246839,0.547486033519553,0.6312849162011173,0.49534450651769085
XGBRegressor,all,test,537,0.012213664480082799,0.009074574751794956,-0.04224399336891227,0.010896203765412766,0.5493482309124768,0.24581005586592178,0.49534450651769085
