model,feature_set,split,n,rmse,mae,r2,information_coefficient,direction_accuracy,predicted_long_share,actual_up_day_rate
HistoricalMean,-,test,537,0.011966178300790472,0.008965156229098636,-0.0004338310217408825,,0.49534450651769085,1.0,0.49534450651769085
Ridge,all,test,537,0.01206972334019712,0.00913308419762431,-0.017822532269173408,0.08246303528516989,0.5232774674115456,0.6219739292364991,0.49534450651769085
Ridge,dict,test,537,0.01202292826973855,0.0090641544936729,-0.009945508857760021,0.038552727584900616,0.4934823091247672,0.9795158286778398,0.49534450651769085
Ridge,finbert,test,537,0.012008993371749321,0.009033721351389107,-0.007605757417967318,-0.011533701697195654,0.5009310986964618,0.957169459962756,0.49534450651769085
Ridge,general,test,537,0.011984560398911374,0.00901962194107447,-0.0035098670848097147,0.07836914664203094,0.49534450651769085,1.0,0.49534450651769085
Ridge,vader,test,537,0.011996713697552683,0.009025193082895403,-0.005546176892242238,0.04300958785356358,0.4934823091247672,0.9906890130353817,0.49534450651769085
XGBRegressor,all,test,537,0.012130281076978144,0.009060965776855825,-0.02806164940409195,0.01268995414280199,0.5027932960893855,0.3333333333333333,0.49534450651769085
XGBRegressor,dict,test,537,0.01219664710572731,0.009169645152539489,-0.03934168665891247,-0.010056265699741941,0.4748603351955307,0.9087523277467412,0.49534450651769085
XGBRegressor,finbert,test,537,0.01210082706369431,0.00912368867441171,-0.02307515674188898,-0.059014632380676606,0.44878957169459965,0.74487895716946,0.49534450651769085
XGBRegressor,general,test,537,0.011987921001292059,0.00898217974792753,-0.004072736370752672,0.010741655424422255,0.5121042830540037,0.8268156424581006,0.49534450651769085
XGBRegressor,vader,test,537,0.012001543637759,0.008992177503166271,-0.0063560162705391665,-0.03204621352642356,0.5139664804469274,0.8361266294227188,0.49534450651769085
HistoricalMean,-,val,499,0.016468921653872187,0.00992548598522586,-0.0008008497753468902,1.3515071679131017e-17,0.5691382765531062,1.0,0.5691382765531062
Ridge,all,val,499,0.01619846102913237,0.010019961042499807,0.03180051081717383,0.18417788496760024,0.5390781563126252,0.625250501002004,0.5691382765531062
Ridge,dict,val,499,0.01645465656387795,0.009905272183081518,0.0009321515049615092,0.03274194898428159,0.5511022044088176,0.9298597194388778,0.5691382765531062
Ridge,finbert,val,499,0.016496604044218086,0.009948040805275539,-0.004168142968783428,-0.029598662447880893,0.5290581162324649,0.875751503006012,0.5691382765531062
Ridge,general,val,499,0.016480572150843788,0.009924838613662577,-0.0022173300684327213,-0.03307851200306931,0.5591182364729459,0.9579158316633266,0.5691382765531062
Ridge,vader,val,499,0.01646787448155914,0.00992330731428713,-0.0006735824722383654,0.009083199281221319,0.5551102204408818,0.9218436873747495,0.5691382765531062
XGBRegressor,all,val,499,0.015924133622978696,0.00993547007064485,0.06431651367153679,0.256697878901974,0.5230460921843687,0.6052104208416834,0.5691382765531062
XGBRegressor,dict,val,499,0.0166151689539193,0.009992868020605963,-0.018654392083103266,-0.01603601935600983,0.5511022044088176,0.8857715430861723,0.5691382765531062
XGBRegressor,finbert,val,499,0.016659495966714927,0.009956876553410378,-0.02409690532391129,-0.12667741536125068,0.5410821643286573,0.875751503006012,0.5691382765531062
XGBRegressor,general,val,499,0.016593348211101856,0.009997576247367199,-0.015980546314639632,-0.13319859418785596,0.5290581162324649,0.8597194388777555,0.5691382765531062
XGBRegressor,vader,val,499,0.01653769518293045,0.009947588633680294,-0.00917690747553701,-0.02461460714932688,0.5430861723446894,0.7775551102204409,0.5691382765531062
